Serial_Number,Year,Production_Quantity_tonnes,Yield_hg/ha,Food_Supply_Consumption_ha,Inflation,Population_Size_millions,Population_Age_percent,Consumption_Growth,Consumer_Price_Index,Unemployment_Rate_percent,,Population_Growth_percent,Food_Demand
1,1961,7384000,94667,780000,6.3,46.06,2.86,,,,,2.03,389817
2,1962,7583000,87665,865000,5.3,47.03,2.88,,,,,2.08,398027
3,1963,7783000,97166,801000,2.7,48.03,2.9,,,,,2.11,406490
4,1964,7982000,91747,870000,0.9,49.07,2.89,,,,,2.13,415292
5,1965,8182000,98697,829000,4,50.13,2.87,,,,,2.14,424263
6,1966,8382000,92110,910000,9.7,51.22,2.89,,,,,2.15,433488
7,1967,8581000,89572,958000,-3.7,52.34,2.89,,,,,2.17,442967
8,1968,8801000,97572,902000,-0.5,53.51,2.88,,,,,2.2,452869
9,1969,9040000,99779,906000,10.2,54.72,2.86,,,,,2.24,463109
10,1970,10206000,119090,857000,13.8,55.98,2.83,,,,,2.29,473773
11,1971,9172000,101911,900000,16,57.3,2.85,,,,,2.36,484944
12,1972,9570000,99688,960000,3.5,58.67,2.85,,,,,2.44,496539
13,1973,9600000,98969,970000,5.4,60.11,2.85,,,,,2.57,508726
14,1974,9500000,95000,1000000,12.7,61.68,2.83,,,,,2.71,522013
15,1975,10500000,100000,1050000,34,63.37,2.81,,,,,,536316
16,1976,11000000,101852,1080000,24.3,65.22,2.82,,,,,,551973
17,1977,11000000,100000,1100000,15.1,67.2,2.82,,,,,,568731
18,1978,12000000,109091,1100000,21.7,69.27,2.81,,,,,,586249
19,1979,12000000,104348,1150000,11.7,71.36,2.8,,,,,,603938
20,1980,11500000,95833,1200000,10,73.42,2.78,,,,,,621372
21,1981,11000000,91667,1200000,20.8,75.44,2.81,,,,,,638468
22,1982,11700000,93600,1250000,7.7,77.43,2.83,,,,,,655310
23,1983,9950000,90455,1100000,23.2,79.41,2.84,,,,,,672067
24,1984,11800000,93725,1259000,17.8,81.45,2.85,,,,,,689332
25,1985,12090000,112465,1075000,7.4,83.56,2.86,,,,,,707189
26,1986,12388000,113132,1095000,5.7,85.77,2.87,,,,,,725893
27,1987,13876000,107733,1288000,11.3,88.05,2.89,,,,,,745189
28,1988,15439000,114618,1347000,54.5,90.4,2.89,,,,,,765078
29,1989,17404000,106136,1639778,50.5,92.79,2.89,,,,,,785305
30,1990,19043008,116533,1634130,7.413,95.21,2.88,,,,,,805786
31,1991,26004000,101936,2551000,44.6,97.67,2.9,,,3.64,,,826606
32,1992,29184000,105931,2755000,57.2,100.16,2.9,,,3.67,,,847679
33,1993,30128000,105935,2844000,57,102.7,2.9,,,3.74,,,869176
34,1994,31005000,105928,2927000,72.8,105.29,2.89,,,3.76,,,891096
35,1995,31404000,106671,2944000,29.3,107.95,2.87,,201.86,3.76,,,913608
36,1996,31418000,106646,2946000,8.5,110.67,2.88,,284.28,3.77,,,936628
37,1997,32050000,118818,2697400,10,113.46,2.87,,314.62,3.76,,,960241
38,1998,32695000,107461,3042500,6.6,116.32,2.86,,339.34,3.76,,,984446
39,1999,32697000,95998,3406000,6.9,119.26,2.84,,361.8,3.79,,,1009327
40,2000,32010000,97000,3300000,18.9,122.28,2.82,,386.91,3.78,,,1034887
41,2001,32068000,96012,3340000,12.9,125.39,2.82,,459.92,3.78,,,1061207
42,2002,34120000,99013,3446000,14,128.6,2.81,,560.84,3.82,,,1088374
43,2003,36304000,104023,3490000,15,131.9,2.79,,591.02,3.82,,,1116303
44,2004,38845000,110011,3531000,17.9,135.32,2.77,,680.81,3.79,,,1145247
45,2005,41565000,109902,3782000,8.2,138.87,2.74,,802.38,3.74,,,1175292
46,2006,45721000,120003,3810000,5.4,142.54,2.76,,868.41,3.65,,,1206352
47,2007,43410000,112026,3875000,11.6,146.34,2.76,,,3.57,,,1238512
48,2008,44582000,118004,3778000,12.6,150.27,2.76,,,3.54,,,1271773
49,2009,36822248,117679,3129030,13.7,154.32,2.75,,,3.72,,,1306049
50,2010,42533180,122155,3481900,10.8,158.5,2.74,,,3.77,,,1341426
51,2011,46190248,112108,4120166,12.2,162.81,2.75,60.77,,3.77,,,1377902
52,2012,50950292,79585,6401996,8.5,167.23,2.76,14.19,,3.73,,,1415310
53,2013,47406770,70323,6741300,8.1,171.77,2.76,156.81,,3.7,,,1453733
54,2014,56328480,87217,6458435,9,176.4,2.75,37.03,,4.56,,,1492918
55,2015,57643271,92727,6216434,15.7,181.14,2.74,63.33,,4.31,,,1533034
56,2016,59565916,96584,6167296,16.5,185.96,2.75,46.88,,7.06,,,1573826
57,2017,59350878,89524,6629632,12.1,190.87,2.75,41.82,,8.39,,,1615381
58,2018,59475202,86789,6852857,11.4,195.87,2.75,29.2,,8.24,,,1657697